entity_id,state,last_changed
sensor.shellypro3em_leistung,7.688,2026-06-06T22:21:42.684Z
sensor.shellypro3em_leistung,-3.92,2026-06-06T22:21:49.680Z
sensor.shellypro3em_leistung,-3.55,2026-06-06T22:21:57.679Z
sensor.shellypro3em_leistung,-2.574,2026-06-06T22:22:07.679Z
sensor.shellypro3em_leistung,7.923,2026-06-06T22:22:17.669Z
sensor.shellypro3em_leistung,-2.793,2026-06-06T22:22:23.667Z
sensor.shellypro3em_leistung,9.421,2026-06-06T22:22:38.662Z
sensor.shellypro3em_leistung,-2.422,2026-06-06T22:22:44.658Z
sensor.shellypro3em_leistung,-3.415,2026-06-06T22:23:00.779Z
sensor.shellypro3em_leistung,11.776,2026-06-06T22:23:07.652Z
sensor.shellypro3em_leistung,-4.054,2026-06-06T22:23:15.649Z
sensor.shellypro3em_leistung,14.821,2026-06-06T22:23:25.648Z
sensor.shellypro3em_leistung,-2.978,2026-06-06T22:23:31.644Z
sensor.shellypro3em_leistung,-4.408,2026-06-06T22:23:37.649Z
sensor.shellypro3em_leistung,-1.295,2026-06-06T22:23:43.649Z
sensor.shellypro3em_leistung,7.503,2026-06-06T22:23:51.633Z
sensor.shellypro3em_leistung,-2.406,2026-06-06T22:23:58.631Z
sensor.shellypro3em_leistung,8.832,2026-06-06T22:24:13.622Z
sensor.shellypro3em_leistung,-3.735,2026-06-06T22:24:20.618Z
sensor.shellypro3em_leistung,-5.03,2026-06-06T22:24:32.612Z
sensor.shellypro3em_leistung,4.912,2026-06-06T22:24:43.607Z
sensor.shellypro3em_leistung,-3.129,2026-06-06T22:24:49.606Z
sensor.shellypro3em_leistung,4.895,2026-06-06T22:24:58.606Z
sensor.shellypro3em_leistung,5.215,2026-06-06T22:25:05.605Z
sensor.shellypro3em_leistung,7.621,2026-06-06T22:25:11.603Z
sensor.shellypro3em_leistung,-3.398,2026-06-06T22:25:16.618Z
sensor.shellypro3em_leistung,-15.426,2026-06-06T22:25:21.602Z
sensor.shellypro3em_leistung,4.29,2026-06-06T22:25:26.600Z
sensor.shellypro3em_leistung,-4.643,2026-06-06T22:25:32.598Z
sensor.shellypro3em_leistung,-0.976,2026-06-06T22:25:39.599Z
sensor.shellypro3em_leistung,9.69,2026-06-06T22:25:55.599Z
sensor.shellypro3em_leistung,-5.72,2026-06-06T22:26:01.594Z
sensor.shellypro3em_leistung,-4.912,2026-06-06T22:26:12.591Z
sensor.shellypro3em_leistung,13.424,2026-06-06T22:26:21.587Z
sensor.shellypro3em_leistung,-2.742,2026-06-06T22:26:26.589Z
sensor.shellypro3em_leistung,-1.413,2026-06-06T22:26:41.601Z
sensor.shellypro3em_leistung,7.957,2026-06-06T22:26:48.586Z
sensor.shellypro3em_leistung,0.454,2026-06-06T22:26:54.581Z
sensor.shellypro3em_leistung,-2.322,2026-06-06T22:27:09.583Z
sensor.shellypro3em_leistung,5.198,2026-06-06T22:27:25.591Z
sensor.shellypro3em_leistung,-10.413,2026-06-06T22:27:41.588Z
sensor.shellypro3em_leistung,-2.422,2026-06-06T22:27:50.576Z
sensor.shellypro3em_leistung,-4.021,2026-06-06T22:27:58.576Z
sensor.shellypro3em_leistung,3.062,2026-06-06T22:28:06.580Z
sensor.shellypro3em_leistung,-1.884,2026-06-06T22:28:12.581Z
sensor.shellypro3em_leistung,5.686,2026-06-06T22:28:18.578Z
sensor.shellypro3em_leistung,-2.271,2026-06-06T22:28:23.582Z
sensor.shellypro3em_leistung,-1.85,2026-06-06T22:28:29.580Z
sensor.shellypro3em_leistung,-1.935,2026-06-06T22:28:34.583Z
sensor.shellypro3em_leistung,6.83,2026-06-06T22:28:40.586Z
sensor.shellypro3em_leistung,1.48,2026-06-06T22:28:45.585Z
sensor.shellypro3em_leistung,247.561,2026-06-06T22:28:54.994Z
sensor.shellypro3em_leistung,250.674,2026-06-06T22:28:57.654Z
sensor.shellypro3em_leistung,90.792,2026-06-06T22:29:02.582Z
sensor.shellypro3em_leistung,51.242,2026-06-06T22:29:08.581Z
sensor.shellypro3em_leistung,-1.178,2026-06-06T22:29:13.599Z
sensor.shellypro3em_leistung,7.166,2026-06-06T22:29:19.582Z
sensor.shellypro3em_leistung,7.402,2026-06-06T22:29:24.580Z
sensor.shellypro3em_leistung,-1.447,2026-06-06T22:29:29.588Z
sensor.shellypro3em_leistung,-3.97,2026-06-06T22:29:37.586Z
sensor.shellypro3em_leistung,-3.449,2026-06-06T22:29:44.600Z
sensor.shellypro3em_leistung,8.378,2026-06-06T22:29:57.589Z
sensor.shellypro3em_leistung,-2.809,2026-06-06T22:30:03.602Z
sensor.shellypro3em_leistung,-0.303,2026-06-06T22:30:08.594Z
sensor.shellypro3em_leistung,-1.548,2026-06-06T22:30:17.604Z
sensor.shellypro3em_leistung,-1.077,2026-06-06T22:30:27.613Z
sensor.shellypro3em_leistung,7.267,2026-06-06T22:30:33.618Z
sensor.shellypro3em_leistung,-4.323,2026-06-06T22:30:39.623Z
sensor.shellypro3em_leistung,5.198,2026-06-06T22:30:46.629Z
sensor.shellypro3em_leistung,-3.617,2026-06-06T22:30:54.646Z
sensor.shellypro3em_leistung,6.998,2026-06-06T22:30:59.650Z
sensor.shellypro3em_leistung,-2.204,2026-06-06T22:31:06.646Z
sensor.shellypro3em_leistung,7.015,2026-06-06T22:31:15.673Z
sensor.shellypro3em_leistung,0.993,2026-06-06T22:31:20.655Z
sensor.shellypro3em_leistung,8.26,2026-06-06T22:31:27.662Z
sensor.shellypro3em_leistung,0.925,2026-06-06T22:31:31.661Z
sensor.shellypro3em_leistung,7.133,2026-06-06T22:31:46.673Z
sensor.shellypro3em_leistung,-11.204,2026-06-06T22:31:50.673Z
sensor.shellypro3em_leistung,-2.708,2026-06-06T22:31:55.677Z
sensor.shellypro3em_leistung,-2.893,2026-06-06T22:32:10.686Z
sensor.shellypro3em_leistung,17.243,2026-06-06T22:32:16.698Z
sensor.shellypro3em_leistung,-1.279,2026-06-06T22:32:21.723Z
sensor.shellypro3em_leistung,-2.843,2026-06-06T22:32:37.712Z
sensor.shellypro3em_leistung,-1.514,2026-06-06T22:32:52.717Z
sensor.shellypro3em_leistung,5.316,2026-06-06T22:33:07.721Z
sensor.shellypro3em_leistung,-2.456,2026-06-06T22:33:13.720Z
sensor.shellypro3em_leistung,8.058,2026-06-06T22:33:23.721Z
sensor.shellypro3em_leistung,-3.583,2026-06-06T22:33:29.730Z
sensor.shellypro3em_leistung,6.88,2026-06-06T22:33:43.724Z
sensor.shellypro3em_leistung,-3.415,2026-06-06T22:33:49.722Z
sensor.shellypro3em_leistung,5.232,2026-06-06T22:33:54.723Z
sensor.shellypro3em_leistung,-2.456,2026-06-06T22:33:59.724Z
sensor.shellypro3em_leistung,-1.531,2026-06-06T22:34:07.729Z
sensor.shellypro3em_leistung,8.075,2026-06-06T22:34:15.727Z
sensor.shellypro3em_leistung,-2.355,2026-06-06T22:34:20.747Z
sensor.shellypro3em_leistung,-4.424,2026-06-06T22:34:27.726Z
sensor.shellypro3em_leistung,18.337,2026-06-06T22:34:36.727Z
sensor.shellypro3em_leistung,-2.17,2026-06-06T22:34:41.726Z
sensor.shellypro3em_leistung,232.32,2026-06-06T22:34:56.723Z
sensor.shellypro3em_leistung,231.26,2026-06-06T22:35:00.826Z
sensor.shellypro3em_leistung,-194.116,2026-06-06T22:35:05.739Z
sensor.shellypro3em_leistung,-179.262,2026-06-06T22:35:10.721Z
sensor.shellypro3em_leistung,-38.086,2026-06-06T22:35:15.721Z
sensor.shellypro3em_leistung,-23.989,2026-06-06T22:35:20.721Z
sensor.shellypro3em_leistung,-9.723,2026-06-06T22:35:27.718Z
sensor.shellypro3em_leistung,2.052,2026-06-06T22:35:37.728Z
sensor.shellypro3em_leistung,-12.937,2026-06-06T22:35:48.713Z
sensor.shellypro3em_leistung,-0.471,2026-06-06T22:35:54.713Z
sensor.shellypro3em_leistung,-3.936,2026-06-06T22:35:59.710Z
sensor.shellypro3em_leistung,7.57,2026-06-06T22:36:08.706Z
sensor.shellypro3em_leistung,-0.252,2026-06-06T22:36:13.707Z
sensor.shellypro3em_leistung,-2.204,2026-06-06T22:36:19.704Z
sensor.shellypro3em_leistung,18.942,2026-06-06T22:36:35.708Z
sensor.shellypro3em_leistung,-1.464,2026-06-06T22:36:41.700Z
sensor.shellypro3em_leistung,-0.707,2026-06-06T22:36:57.701Z
sensor.shellypro3em_leistung,-5.972,2026-06-06T22:37:07.703Z
sensor.shellypro3em_leistung,4.879,2026-06-06T22:37:18.721Z
sensor.shellypro3em_leistung,16.116,2026-06-06T22:37:27.702Z
sensor.shellypro3em_leistung,-1.649,2026-06-06T22:37:31.769Z
sensor.shellypro3em_leistung,0.807,2026-06-06T22:37:47.697Z
sensor.shellypro3em_leistung,-3.196,2026-06-06T22:37:57.699Z
sensor.shellypro3em_leistung,5.585,2026-06-06T22:38:10.694Z
sensor.shellypro3em_leistung,-1.464,2026-06-06T22:38:16.705Z
sensor.shellypro3em_leistung,2.136,2026-06-06T22:38:21.694Z
sensor.shellypro3em_leistung,-4.239,2026-06-06T22:38:30.688Z
sensor.shellypro3em_leistung,6.006,2026-06-06T22:38:46.702Z
sensor.shellypro3em_leistung,-0.723,2026-06-06T22:38:53.676Z
sensor.shellypro3em_leistung,-3.163,2026-06-06T22:39:02.778Z
sensor.shellypro3em_leistung,5.787,2026-06-06T22:39:09.667Z
sensor.shellypro3em_leistung,-5.165,2026-06-06T22:39:16.663Z
sensor.shellypro3em_leistung,-2.49,2026-06-06T22:39:27.676Z
sensor.shellypro3em_leistung,4.929,2026-06-06T22:39:34.650Z
sensor.shellypro3em_leistung,-1.497,2026-06-06T22:39:39.657Z
sensor.shellypro3em_leistung,6.409,2026-06-06T22:39:50.642Z
sensor.shellypro3em_leistung,-3.079,2026-06-06T22:39:57.640Z
sensor.shellypro3em_leistung,1.194,2026-06-06T22:40:12.633Z
sensor.shellypro3em_leistung,0.387,2026-06-06T22:40:19.631Z
sensor.shellypro3em_leistung,8.226,2026-06-06T22:40:26.629Z
sensor.shellypro3em_leistung,-3.583,2026-06-06T22:40:30.694Z
sensor.shellypro3em_leistung,4.963,2026-06-06T22:40:37.626Z
sensor.shellypro3em_leistung,-3.449,2026-06-06T22:40:42.627Z
sensor.shellypro3em_leistung,-4.088,2026-06-06T22:40:49.632Z
sensor.shellypro3em_leistung,0.791,2026-06-06T22:41:02.736Z
sensor.shellypro3em_leistung,-1.06,2026-06-06T22:41:09.625Z
sensor.shellypro3em_leistung,5.871,2026-06-06T22:41:25.623Z
sensor.shellypro3em_leistung,-1.649,2026-06-06T22:41:40.641Z
sensor.shellypro3em_leistung,-4.912,2026-06-06T22:41:56.619Z
sensor.shellypro3em_leistung,8.596,2026-06-06T22:42:12.615Z
sensor.shellypro3em_leistung,-3.987,2026-06-06T22:42:19.613Z
sensor.shellypro3em_leistung,4.239,2026-06-06T22:42:24.611Z
sensor.shellypro3em_leistung,-6.157,2026-06-06T22:42:32.608Z
sensor.shellypro3em_leistung,7.234,2026-06-06T22:42:38.614Z
sensor.shellypro3em_leistung,-2.658,2026-06-06T22:42:43.606Z
sensor.shellypro3em_leistung,-5.165,2026-06-06T22:42:48.606Z
sensor.shellypro3em_leistung,4.946,2026-06-06T22:42:54.606Z
sensor.shellypro3em_leistung,-5.551,2026-06-06T22:43:00.715Z
sensor.shellypro3em_leistung,-6.224,2026-06-06T22:43:07.603Z
sensor.shellypro3em_leistung,3.886,2026-06-06T22:43:14.598Z
sensor.shellypro3em_leistung,-6.645,2026-06-06T22:43:22.598Z
sensor.shellypro3em_leistung,10.396,2026-06-06T22:43:28.592Z
sensor.shellypro3em_leistung,-6.662,2026-06-06T22:43:33.607Z
sensor.shellypro3em_leistung,1.245,2026-06-06T22:43:40.586Z
sensor.shellypro3em_leistung,-5.938,2026-06-06T22:43:46.603Z
