category,Netz aktuell,Netz Ø,SunEnergy Ist,SunEnergy Soll,Hoymiles,SunEnergy AC,Hausverbrauch,Batterie SOC,Heizung,Pool,Desk PC,Trockner,Waschmaschine,Server,Bambu H2C,Bambu X1C,Entkalkung,Gaming Monitore,Treppe,Kaffeemaschine,Küche Unterbau 1,Küche Unterbau 2,Küche Unterbau 3,Küche Unterbau 4,Carport Licht 1,Carport Licht 2,Carport Licht 3,Carport Licht 4,Waschküche_licht,Werkstatt_licht,E_Werkstatt_licht
Sun Jun 07 2026,0.9852857142857143,0.94,216.7171717171717,215.9090909090909,7.25,-225.8095238095238,237.31206896551726,40,7.5875,2.775,1.65,0,0,15.477358490566035,0,0,1.8720000000000003,1.0947619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,16.489804878048787,16.796250000000004,206.56435643564356,201.66666666666666,7.366666666666667,-151.5125,240.86779661016956,39.77401129943503,7.610000000000001,2.855555555555555,1.85,0,0,15.48947368421053,0,0,1.861578947368421,1.093809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,1.584081081081079,1.605479452054796,221.62626262626262,236.20689655172413,7.400000000000001,-234.78333333333333,243.3769230769231,40,7.700000000000001,2.8499999999999996,1.8,0,0,15.471428571428572,0,0,1.8260000000000005,1.0863636363636362,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.8468125000000002,1.025,217.4368932038835,215,7.400000000000001,-230.01999999999998,237.59499999999989,39,7.710000000000001,2.8299999999999996,1.8,0,0,15.33035714285714,0,0,1.8579999999999999,1.0756521739130434,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,4.426552631578947,4.586842105263158,258.69072164948454,256.969696969697,7.333333333333333,-309.10833333333335,288.9962264150943,39,7.6,2.827272727272727,1.3666666666666665,0,0,15.636842105263158,0,0,1.8900000000000006,1.0877272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.09320833333333338,-0.07291666666666652,316.07,318.42105263157896,7.32,-324.3333333333333,334.1371428571428,38,7.51,2.839999999999999,1.75,0,0,15.761403508771929,0,0,1.8954999999999997,1.069047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,1.1544999999999996,0.9562499999999999,310.97087378640776,313.3333333333333,7.366666666666667,-323.58000000000004,331.41875,38,7.540000000000001,2.8499999999999996,1.5999999999999999,0,0,15.508620689655173,0,0,1.86,1.0795454545454548,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-5.784733333333334,-3.928813559322034,304.5257731958763,297.9166666666667,7.25,-299.68,307.78571428571433,37,7.528571428571429,2.8249999999999997,1.75,0,0,18.17241379310345,0,0,1.9110000000000003,1.0808695652173912,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.8173913043478259,-0.5340659340659338,213.12,214.23076923076923,7.366666666666667,-223.52222222222224,234.30877192982453,37,7.699999999999999,2.8181818181818183,1.8,0,0,24.98245614035088,0,0,1.868947368421053,1.0847826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,1.3401515151515153,1.1323076923076922,208.19387755102042,209.44444444444446,7.550000000000001,-218.1777777777778,228.15555555555557,36,7.699999999999999,2.8499999999999996,1.7666666666666666,0,0,21.12105263157895,0,0,1.8533333333333333,1.1017391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.8088108108108109,-0.5633802816901409,201.76190476190476,204.16666666666666,7.65,-212.13333333333333,220.08913043478265,36,7.7444444444444445,2.8333333333333326,1.75,0,0,16.299999999999997,0,0,1.8524999999999998,1.0752380952380953,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.4354722222222223,0.404225352112676,196.53684210526316,195,7.6,-206.22499999999997,216.45,35,7.65,2.8499999999999996,1.8,0,0,16.22280701754386,0,0,1.8764999999999996,1.0771428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.23205128205128192,0.192,195.40404040404042,194.83870967741936,7.7,-208.14000000000001,216.31555555555556,35,7.718181818181819,2.8499999999999996,1.8,0,0,15.977192982456138,0,0,1.8868421052631577,1.0895454545454548,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.3990256410256408,0.4805194805194806,196.18,195,7.566666666666666,-208.32,216.5127659574468,35,7.683333333333334,2.8538461538461535,1.7999999999999998,0,0,15.794915254237289,0,0,1.86,1.0830000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,6.786078947368422,6.8539473684210535,271.13861386138615,267.8125,7.65,-281.8875,288.9063829787234,34,7.728571428571429,2.8428571428571425,1.5833333333333333,0,0,15.808928571428572,0,0,1.859473684210526,1.0895454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.9547600000000002,0.7040816326530612,297.1764705882353,296.6666666666667,7.624999999999999,-309.3625,318.0189189189189,33,7.710000000000001,2.8499999999999996,1.8,0,0,15.827586206896553,0,0,1.8926315789473689,1.1086363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.1398636363636365,-0.0523809523809524,298.4257425742574,300,7.55,-313.76,318.42068965517245,33,7.736363636363635,2.8499999999999996,1.8,0,0,15.96,0,0,1.9063157894736837,1.0881818181818181,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-6.327967741935483,-6.4278688524590155,263.96938775510205,251.25,7.55,-267.4000000000001,265.9941176470588,32,7.733333333333334,2.854545454545454,1.8,0,0,16.508928571428573,0,0,1.8884210526315788,1.0772727272727274,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.19866666666666652,0.21904761904761902,193.989898989899,194.84848484848484,7.65,-208.7,215.23061224489797,32,7.75,2.823076923076923,1.7,0,0,16.01636363636364,0,0,1.887894736842105,1.0934782608695655,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.1816530612244904,-0.20515463917525775,191.55555555555554,199.72222222222223,7.65,-186.86399999999998,208.053947368421,32,7.7,2.8499999999999996,1.8,0,0,16.63090909090909,0,0,1.9025000000000003,1.082857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.04239130434782594,0.11777777777777768,194.85,194.84848484848484,7.574999999999999,-207,215.63207547169807,31,7.627272727272726,2.8499999999999996,1.7333333333333334,0,0,15.789830508474575,0,0,1.9033333333333333,1.0914285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.5709999999999998,-0.6916666666666668,192.14705882352942,195,7.68,-203.56153846153848,212.79259259259257,31,7.5636363636363635,2.8499999999999996,1.75,0,0,15.335849056603772,0,0,1.88,1.0904545454545453,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.6846666666666664,0.42894736842105263,192.34343434343435,195,7.6,-202.66,211.08636363636361,30,7.588888888888889,2.8533333333333326,1.75,0,0,15.405263157894735,0,0,1.9,1.0795454545454548,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.6680714285714283,-0.46785714285714275,194.23232323232324,195.71428571428572,7.65,-208.94166666666663,215.90892857142856,30,7.566666666666666,2.8333333333333326,1.8,0,0,15.774545454545448,0,0,1.872222222222222,1.0855000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,10.293343749999998,10.182812499999999,331.17,322.962962962963,7.55,-321.52777777777777,355.53653846153856,29,78.79444444444444,2.849999999999999,1.78,0,0,15.877192982456144,0,0,1.9021052631578947,1.0885714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,1.0557241379310347,0.9392857142857142,383.34,384,7.599999999999999,-393.9428571428571,403.40263157894736,29,89.46666666666665,2.854545454545454,1.8,0,0,15.385714285714284,0,0,1.8810000000000007,1.0972727272727272,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,5.396870967741934,5.876666666666666,368.93,384.61538461538464,7.55,-353.01250000000005,392.9040816326532,28,83.02857142857142,2.8454545454545452,1.85,0,0,15.366666666666665,0,0,1.8936842105263156,1.1042105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-8.340909090909092,-8.43030303030303,269.25,268.84615384615387,7.5,-256.5555555555555,265.51346153846157,28,30.313333333333333,2.8249999999999997,1.8,0,0,16.267857142857142,0,0,1.918,1.0776190476190477,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.5160500000000001,-0.4587500000000001,191.44117647058823,194.8148148148148,7.6,-204.2,213.1625,27,7.766666666666667,2.8571428571428568,1.75,0,0,16.174545454545463,0,0,1.8755555555555554,1.0838095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.6210526315789472,-0.5999999999999998,191.5252525252525,195,7.7,-205.39473684210532,212.63103448275868,27,7.75,2.8499999999999996,1.7999999999999998,0,0,15.92115384615384,0,0,1.8660000000000003,1.0934782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.3896756756756757,0.23287671232876697,191.83838383838383,195,7.7,-202.76000000000002,212.31086956521733,26,7.792857142857143,2.8499999999999996,1.75,0,0,15.988888888888894,0,0,1.9378947368421053,1.101,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.38975000000000004,-0.33768115942028987,192.21,196,7.699999999999999,-206.80909090909088,213.43200000000007,26,7.7444444444444445,2.8899999999999997,1.675,0,0,15.707017543859642,0,0,1.9015000000000004,1.0681818181818181,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.7952439024390245,-0.851219512195122,192.43,195,7.65,-204.67999999999998,212.9666666666666,26,7.792857142857143,2.843749999999999,1.85,0,0,16.27413793103448,0,0,1.8875,1.091304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0
